id,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank,is_preparatory
1,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,GEN,838,1841,0
2,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,OBC-NCL,408,1098,0
3,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,SC,297,468,0
4,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,ST,79,145,0
5,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,GEN-PWD,94,94,0
6,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,OBC-NCL-PWD,45,45,0
7,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,GEN,422,1479,0
8,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,OBC-NCL,447,974,0
9,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,SC,257,572,0
10,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,ST,161,335,0
11,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,GEN-PWD,51,75,0
12,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,OBC-NCL-PWD,40,40,0
13,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,SC-PWD,3,3,0
14,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemistry,4 Years,BSc,GEN,3323,4880,0
15,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemistry,4 Years,BSc,OBC-NCL,1753,2596,0
16,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemistry,4 Years,BSc,SC,261,1743,0
17,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemistry,4 Years,BSc,ST,661,697,0
18,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Chemistry,4 Years,BSc,GEN-PWD,49,49,0
19,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Civil Engineering,4 Years,B.Tech,GEN,897,2251,0
20,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Civil Engineering,4 Years,B.Tech,OBC-NCL,356,1007,0
21,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Civil Engineering,4 Years,B.Tech,SC,217,441,0
22,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Civil Engineering,4 Years,B.Tech,ST,57,108,0
23,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Civil Engineering,4 Years,B.Tech,GEN-PWD,19,50,0
24,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Civil Engineering,4 Years,B.Tech,OBC-NCL-PWD,21,21,0
25,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN,1,60,0
26,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,8,44,0
27,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,SC,2,26,0
28,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,ST,1,15,0
29,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,2,3,0
30,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,1,1,0
31,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering,4 Years,B.Tech,GEN,22,227,0
32,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering,4 Years,B.Tech,OBC-NCL,64,162,0
33,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering,4 Years,B.Tech,SC,18,81,0
34,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering,4 Years,B.Tech,ST,20,45,0
35,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering,4 Years,B.Tech,GEN-PWD,9,9,0
36,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering,4 Years,B.Tech,SC-PWD,1,1,0
37,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,5 Years,B.Tech + M.Tech (IDD),GEN,249,583,0
38,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,223,404,0
39,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,5 Years,B.Tech + M.Tech (IDD),SC,140,226,0
40,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,5 Years,B.Tech + M.Tech (IDD),ST,60,87,0
41,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,5 Years,B.Tech + M.Tech (IDD),GEN-PWD,24,24,0
42,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),GEN,228,514,0
43,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,175,328,0
44,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),SC,132,184,0
45,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),ST,89,130,0
46,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),OBC-NCL-PWD,2,2,0
47,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,1374,2250,0
48,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,890,1524,0
49,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,5 Years,B.Tech + M.Tech (IDD),SC,338,848,0
50,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,5 Years,B.Tech + M.Tech (IDD),ST,607,706,0
51,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics,4 Years,B.Tech,GEN,6,1041,0
52,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics,4 Years,B.Tech,OBC-NCL,283,796,0
53,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics,4 Years,B.Tech,SC,360,763,0
54,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics,4 Years,B.Tech,ST,204,337,0
55,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics,4 Years,B.Tech,GEN-PWD,43,43,0
56,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics and M.Tech. with specialization in Nano Science,5 Years,B.Tech + M.Tech (IDD),GEN,1092,1843,0
57,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics and M.Tech. with specialization in Nano Science,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,477,928,0
58,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics and M.Tech. with specialization in Nano Science,5 Years,B.Tech + M.Tech (IDD),SC,801,812,0
59,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics and M.Tech. with specialization in Nano Science,5 Years,B.Tech + M.Tech (IDD),ST,368,368,0
60,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Engineering Physics and M.Tech. with specialization in Nano Science,5 Years,B.Tech + M.Tech (IDD),OBC-NCL-PWD,50,50,0
61,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,GEN,26,777,0
62,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,104,371,0
63,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,SC,33,164,0
64,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,ST,29,117,0
65,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,GEN-PWD,13,13,0
66,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,OBC-NCL-PWD,8,8,0
67,2016,IIT,6,AI,Gender-Neutral,IIT-Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing,5 Years,B.Tech + M.Tech (IDD),GEN,803,901,0
